Word,Category,Hint
Sandwich,What,Food
Scarecrow,What,Farm figure
Scarf,What,Clothing
Scooter,What,Vehicle
Scorpion,What,Animal
Scuba gear,What,Sports equipment
Seagull,What,Animal
Seashell,What,Natural object
Seat,What,Furniture
Shampoo,What,Toiletry
Shark,What,Animal
Sheep,What,Animal
Shelf,What,Furniture
Ship,What,Vehicle
Shirt,What,Clothing
Shoes,What,Clothing
Shopping cart,What,Container
Shrimp,What,Animal
Skull,What,Anatomical part
Skyscraper,What,Building
Smog,What,Pollution
Snake,What,Animal
Snowflake,What,Natural object
Snowman,What,Winter figure
Soap,What,Toiletry
Soccer ball,What,Sports equipment
Socks,What,Clothing
Solar panel,What,Energy device
Spade,What,Gardening tool
Spaghetti,What,Food
Spectacles,What,Vision aid
Sphinx,What,Monument
Spider,What,Animal
Spice,What,Food
Spoon,What,Utensil
Spotlight,What,Lighting device
Spring,What,Natural season
Squirrel,What,Animal
Stadium,What,Venue
Staff (wand),What,Magical item
Stairs,What,Building feature
Star,What,Space object
Starfish,What,Animal
Statue,What,Monument
Steak,What,Food
Steering wheel,What,Car part
Stegosaurus,What,Animal
Stove,What,Kitchen appliance
Strawberry,What,Food
Sunflower,What,Plant
Sunglasses,What,Clothing
Sushi,What,Food
Swimsuit,What,Clothing
Tablet (device),What,Electronic device
Taco,What,Food
Tadpole,What,Animal
Tailor,What,Profession
Throne,What,Seat
Tiger,What,Animal
Tire,What,Vehicle part
Tissue,What,Paper product
Toast,What,Food
Toilet,What,Household item
Toilet paper,What,Household item
Tomato,What,Food
Tomb,What,Grave
Toothbrush,What,Toiletry
Toothpaste,What,Toiletry
Toothpick,What,Kitchen tool
Tower,What,Structure
Toy,What,Plaything
Train,What,Vehicle
Trash can,What,Container
Treadmill,What,Sports equipment
Tree,What,Plant
Truck,What,Vehicle
Tsunami,What,Natural disaster
Turtle,What,Animal
Unicorn,What,Mythical creature
Valley,What,Natural feature
Vase,What,Decorative container
Vegetables,What,Food
Velcro,What,Fastener
Volcano,What,Natural feature
Volleyball,What,Sports equipment
Vulture,What,Animal
Waffle,What,Food
Wall,What,Structure
Walrus,What,Animal
Water,What,Natural resource
Waterfall,What,Natural feature
Watermelon,What,Food
Wax,What,Candle material
Web,What,Spider product
Wheel,What,Invention
Whale,What,Animal
Whiskey,What,Drink
Whistle,What,Signaling device
Wind,What,Weather
Wind chime,What,Musical instrument
Window,What,Building feature
Wine,What,Drink
Wolf,What,Animal
Wood,What,Material
Yacht,What,Vehicle
Yogurt,What,Food
Zebra,What,Animal
Needle,What,A small slender tool with a pointed end
Zipper,What,A device for binding the edges of fabric
Inkwell,What,A small pot or container for ink
Fountain Pen,What,A pen that contains a reservoir of liquid ink
Ballpoint Pen,What,A pen with a tiny ball as its writing point
Eye,What,Body part
Ice cream,What,Food
Ink,What,Writing liquid
Milk,What,Food
Moon,What,Satellite
Mug,What,Cup
Mushroom,What,Plant
Nest,What,Animal home
Pillow,What,Bedding
Pizza,What,Food
Sun,What,Star
Sunrise,What,Natural event
The Riverina,Where,Agricultural region of south-western New South Wales
The Mallee,Where,Region in Victoria and South Australia
The Wheatbelt,Where,Region in Western Australia
The Pilbara,Where,Region in Western Australia
Bay of Plenty,Where,Region of New Zealand
Waikato,Where,Region of New Zealand
Rhodes,Where,Largest of the Greek Dodecanese islands
Abu Dhabi,Where,Capital of United Arab Emirates
Central African Republic,Where,African country
Equatorial Guinea,Where,African country
Turkmenistan,Where,Asian country
Uzbekistan,Where,Asian country
Ecuador,Where,South American country
El Salvador,Where,North American country
Eritrea,Where,African country
Eswatini,Where,African country
Gabon,Where,African country
Lichtenstein,Where,Microstate between Austria and Switzerland
Teotihuacan,Where,Ancient city in Mexico
Bagan,Where,Ancient city in Myanmar
Aurora Australis,Where,Southern Lights
Moorea,Where,Island in French Polynesia
Guadalcanal,Where,Island in the Solomon Islands
Kamchatka Peninsula,Where,Peninsula in the Russian Far East
Cape Verde,Where,Island country in the Atlantic Ocean
Dominica,Where,Mountainous Caribbean island nation
Martinique,Where,French island in the Caribbean
Guadeloupe,Where,French island group in the southern Caribbean Sea
Svalbard,Where,Norwegian archipelago between mainland Norway and the North Pole
The Volga Delta,Where,Largest river delta in Europe
The Orinoco Belt,Where,Territory in Venezuela
The Canadian Shield,Where,Large area of exposed Precambrian igneous and high-grade metamorphic rocks
Doubtful Sound,Where,"Fjord in Fiordland, in the far south west of New Zealand"
Fox Glacier,Where,Glacier in Westland Tai Poutini National Park
Chatham Islands,Where,Archipelago in the Pacific Ocean about 800 kilometres east of the South Island of New Zealand
The Wimmera,Where,Region in Victoria
Serpent Mound,Where,Prehistoric effigy mound in Ohio
Carnac,Where,"Commune in Brittany, France, known for its megalithic alignments"
Woodhenge,Where,Neolithic Class II henge and timber circle monument located in the Stonehenge World Heritage Site in Wiltshire
Durrington Walls,Where,Large Neolithic settlement and later henge enclosure located in the Stonehenge World Heritage Site
Scafell Pike,Where,Highest and the most prominent mountain in England
Dowth,Where,"Neolithic passage grave located in the Boyne Valley, County Meath, Ireland"
Skellig Michael,Where,"Twin-pinnacled crag 11.6 kilometres west of the Iveragh Peninsula in County Kerry, Ireland"
The Gobbins,Where,"Cliff-face path at Islandmagee, County Antrim, Northern Ireland"
Keukenhof,Where,"One of the world's largest flower gardens, situated in the town of Lisse, in the Netherlands"
Rubenshuis,Where,"Former home and studio of Peter Paul Rubens in Antwerp, Belgium"
Vianden Castle,Where,One of the largest fortified castles west of the Rhine
Mullerthal Region,Where,Region in the north-east of Luxembourg
Eagle's Nest,Where,"Third Reich-era building erected atop the summit of the Kehlstein, a rocky outcrop that rises above the Obersalzberg near the town of Berchtesgaden"
Zugspitze,Where,Highest peak of the Wetterstein Mountains as well as the highest mountain in Germany
Zakopane,Where,Town in the extreme south of Poland
Folegandros,Where,"Small Greek island in the Aegean Sea that, together with Sikinos, Ios, Anafi and Santorini, forms the southern part of the Cyclades"
Chad,Where,African country
Djibouti,Where,African country
Guinea-Bissau,Where,African country
Kazakhstan,Where,Asian country
Lesotho,Where,African country
Marshall Islands,Where,Oceanian country
Tuvalu,Where,Oceanian country
Canterbury,Where,Region of New Zealand
Otago,Where,Region of New Zealand
Angola,Where,African country
Georgia,Where,Asian country
Saint Lucia,Where,North American country
Saint Vincent and the Grenadines,Where,North American country
Saudi Arabia,Where,Asian country
Burj Khalifa,Where,World's tallest building in Dubai
Acropolis of Athens,Where,Ancient citadel in Greece
The Louvre,Where,World's largest art museum in Paris
Christ the Redeemer,Where,Art Deco statue in Rio
Petra,Where,Ancient city in Jordan
Kyoto,Where,Former imperial capital of Japan
Cairo,Where,Capital of Egypt
Bangkok,Where,Capital of Thailand
Singapore,Where,Island city-state in Asia
Phnom Penh,Where,Capital of Cambodia
Jakarta,Where,Capital of Indonesia
Kathmandu,Where,Capital of Nepal
Dhaka,Where,Capital of Bangladesh
San Marino,Where,Microstate surrounded by Italy
Andorra,Where,Microstate between France and Spain
Crete,Where,Largest Greek island
Sicily,Where,Largest Mediterranean island
Sardinia,Where,Italian island in the Mediterranean
Corsica,Where,French island in the Mediterranean
Galapagos Islands,Where,Archipelago known for unique wildlife
Easter Island,Where,Chilean island with moai statues
Bora Bora,Where,Island in French Polynesia
Samoa,Where,Polynesian island country
Tonga,Where,Polynesian kingdom of islands
Langkawi,Where,Malaysian island archipelago
Seychelles,Where,Archipelago nation in the Indian Ocean
Mauritius,Where,Island nation in the Indian Ocean
Madagascar,Where,Large island nation off Africa
Zanzibar,Where,Tanzanian archipelago off East Africa
The Cotswolds,Where,Rural area of south-central England
Hadrian's Wall,Where,Roman fortification in England
Stratford-upon-Avon,Where,Shakespeare's birthplace
The Kremlin,Where,Fortified complex in Moscow
Forbidden City,Where,Palace complex in Beijing
Arches National Park,Where,National Park in Utah
Mount Kilimanjaro,Where,Dormant volcano in Tanzania
Ningaloo Reef,Where,Fringing coral reef in Western Australia
Tower of London,Where,Historic castle in London
Edinburgh Castle,Where,Historic fortress in Scotland
Blarney Castle,Where,Castle in Cork Ireland
Chichen Itza,Where,Mayan ruins in Mexico
Tulum,Where,Mayan ruins in Mexico
Angkor Wat,Where,Temple complex in Cambodia
Borobudur,Where,Buddhist temple in Indonesia
Santorini Caldera,Where,Volcanic caldera in the Aegean Sea
Blue Lagoon,Where,Geothermal spa in Iceland
Arctic Circle,Where,Northernmost of the five major circles of latitude
Kalahari Desert,Where,Large semi-arid sandy savanna in Africa
Atacama Desert,Where,Desert plateau in South America
Danube River,Where,Europe's second-longest river
Lake Baikal,Where,World's largest freshwater lake by volume
Caspian Sea,Where,World's largest inland body of water
Lake Victoria,Where,One of the African Great Lakes
Lake Tanganyika,Where,One of the African Great Lakes
Iguazu Falls,Where,Waterfalls of the Iguazu River
Angel Falls,Where,World's tallest uninterrupted waterfall
Suez Canal,Where,Artificial sea-level waterway in Egypt
Panama Canal,Where,Artificial waterway in Panama
Strait of Gibraltar,Where,Strait connecting the Atlantic to the Mediterranean
English Channel,Where,Body of water separating England and France
Bering Strait,Where,Strait between Asia and North America
Cape of Good Hope,Where,Rocky headland on the coast of South Africa
Cape Horn,Where,Southernmost headland of the Tierra del Fuego archipelago
Mount Rushmore,Where,Sculpture carved into a mountain in South Dakota
Crazy Horse Memorial,Where,Mountain monument under construction in South Dakota
The Alamo,Where,Historic mission in San Antonio Texas
Normandy Beaches,Where,Landing sites of the 1944 invasion
Auschwitz,Where,Nazi concentration camp in Poland
Hiroshima,Where,Japanese city destroyed by an atomic bomb
Nagasaki,Where,Japanese city destroyed by an atomic bomb
Chernobyl,Where,Site of a nuclear disaster in Ukraine
Fukushima,Where,Site of a nuclear disaster in Japan
Trans-Siberian Railway,Where,Network of railways connecting Moscow with the Russian Far East
Orient Express,Where,Former long-distance passenger train service
Okavango Delta,Where,Vast inland river delta in Botswana
Galilee,Where,Region in northern Israel
Bethlehem,Where,Town in the West Bank
Nazareth,Where,City in northern Israel
Mecca,Where,Islam's holiest city
Medina,Where,Islam's second-holiest city
Lourdes,Where,Town in southwestern France known for pilgrimages
Fatima,Where,Town in Portugal known for Marian apparitions
Santiago de Compostela,Where,Pilgrimage destination in Spain
Glastonbury,Where,Town in Somerset England
Timbuktu,Where,City in Mali
Marrakech,Where,City in Morocco
Karnak,Where,Temple complex in Egypt
Delphi,Where,Ancient sanctuary in Greece
Olympia,Where,Ancient sanctuary in Greece
Mycenae,Where,Archaeological site in Greece
Knossos,Where,Archaeological site on Crete
Ephesus,Where,Ancient Greek city in Turkey
Troy,Where,Ancient city in Turkey
Constantinople,Where,Former name of Istanbul
Istanbul,Where,City in Turkey
St. Petersburg,Where,City in Russia
Florence,Where,City in Italy
Pisa,Where,City in Italy
Dresden,Where,City in Germany
Leipzig,Where,City in Germany
Nuremberg,Where,City in Germany
Lucerne,Where,City in Switzerland
Ghent,Where,City in Belgium
Granada,Where,City in Spain
Cordoba,Where,City in Spain
Bilbao,Where,City in Spain
Saipan,Where,Largest of the Northern Mariana Islands
Tahiti,Where,Largest island in French Polynesia
Cook Islands,Where,Nation in the South Pacific
New Caledonia,Where,French territory in the South Pacific
Solomon Islands,Where,Sovereign state in Oceania
Iwo Jima,Where,One of the Japanese Volcano Islands
Okinawa,Where,Japanese prefecture comprising islands
Hokkaido,Where,Northernmost of Japan's main islands
Honshu,Where,Largest and most populous island of Japan
Kyushu,Where,Third largest island of Japan
Shikoku,Where,Smallest of Japan's main islands
Jeju Island,Where,Island in South Korea
Tibet,Where,Region in Asia on the Tibetan Plateau
Ural Mountains,Where,Mountain range that runs from north to south through western Russia
Caucasus Mountains,Where,Mountain range at the intersection of Europe and Asia
Pampas,Where,Fertile South American lowlands
Tierra del Fuego,Where,Archipelago at South America's southernmost tip
Canary Islands,Where,Spanish archipelago off the coast of northwestern Africa
Bermuda,Where,British island territory in the North Atlantic
Bahamas,Where,Archipelago in the Atlantic Ocean
Cuba,Where,Country in the Caribbean
Jamaica,Where,Island country in the Caribbean
Hispaniola,Where,Island in the Caribbean divided between Haiti and the Dominican Republic
Puerto Rico,Where,US territory in the Caribbean
Virgin Islands,Where,Archipelago in the Caribbean
The Grenadines,Where,Chain of small islands in the Lesser Antilles
Antigua and Barbuda,Where,Sovereign state in the West Indies
Cayman Islands,Where,British Overseas Territory in the Caribbean
Turks and Caicos,Where,Archipelago in the Atlantic Ocean
Greenland,Where,Autonomous territory of Denmark
Iceland,Where,Nordic island nation
Faroe Islands,Where,"Archipelago, part of the Kingdom of Denmark"
Lapland,Where,Region in northern Europe
The Baltic States,Where,"Estonia, Latvia, and Lithuania"
The Balkans,Where,Geographical region in Southeast Europe
Transylvania,Where,Historical region in central Romania
The Danube Delta,Where,Second largest river delta in Europe
The Mekong Delta,Where,Region in southwestern Vietnam
The Ganges Delta,Where,River delta in the Bengal region
The Indus Valley,Where,Region in South Asia
Mesopotamia,Where,Historical region of Western Asia
The Levant,Where,Historical geographical term referring to a large area in the Eastern Mediterranean
The Maghreb,Where,Region of North Africa
Sub-Saharan Africa,Where,Area of the continent of Africa that lies south of the Sahara
West Africa,Where,Westernmost region of Africa
Central Africa,Where,Core region of the African continent
Southern Africa,Where,Southernmost region in Africa
The Horn of Africa,Where,Peninsula in Northeast Africa
The Sahel,Where,Ecoregion in Africa
The Congo Basin,Where,Sedimentary basin of the Congo River
The Great Rift Valley,Where,Series of contiguous geographic trenches
The Serengeti Migration,Where,Annual migration of giant herds of grazers
The Amazon Basin,Where,Part of South America drained by the Amazon River
The Great Plains,Where,Broad expanse of flat land in North America
The Deep South,Where,Cultural and geographic subregion in the Southern United States
The Pacific Northwest,Where,Region in western North America
The Sun Belt,Where,Region of the United States
The Rust Belt,Where,Region of the United States
Appalachia,Where,Cultural region in the Eastern United States
The Ozarks,Where,Physiographic region in the U.S. states of Arkansas and Missouri
Red Rocks Amphitheatre,Where,"Rock structure near Morrison, Colorado"
Gettysburg,Where,Battlefield site in Pennsylvania
Valley Forge,Where,Winter encampment of the Continental Army
Jamestown,Where,First permanent English settlement in the Americas
Devil's Island,Where,Former penal colony in French Guiana
Port Arthur,Where,Former convict settlement in Tasmania
Fremantle Prison,Where,Former Australian prison in Western Australia
Norfolk Island,Where,External territory of Australia in the Pacific Ocean
Christmas Island,Where,Australian external territory in the Indian Ocean
Cocos (Keeling) Islands,Where,Australian external territory in the Indian Ocean
The Flinders Ranges,Where,Largest mountain range in South Australia
The Snowy Mountains,Where,Highest mountain range on the mainland of Australia
The Dandenongs,Where,Set of low mountain ranges in Victoria
The Glass House Mountains,Where,Group of thirteen hills in Queensland
The Pinnacles,Where,Limestone formations in Western Australia
Wave Rock,Where,Natural rock formation in Western Australia
Kata Tjuta,Where,Large group of domed rocks in the Northern Territory
Litchfield National Park,Where,National Park in the Northern Territory
El Questro,Where,Wilderness park in Western Australia
Purnululu National Park,Where,Home of the Bungle Bungles
Bungle Bungles,Where,Landform in Western Australia
Horizontal Falls,Where,Natural phenomenon in Western Australia
The Murray River,Where,Australia's longest river
The Darling River,Where,Third longest river in Australia
The Murrumbidgee River,Where,Major tributary of the Murray River
The Hawkesbury River,Where,Semi-mature tide dominated drowned valley estuary in NSW
Lake Argyle,Where,Largest artificial lake in Australia
Lake Burley Griffin,Where,Artificial lake in the centre of Canberra
Geographe Bay,Where,Bay in Western Australia
Spencer Gulf,Where,Largest inlet on the southern coast of Australia
Gulf of Carpentaria,Where,Large shallow sea enclosed on three sides by northern Australia
Torres Strait,Where,Strait which lies between Australia and the Melanesian island of New Guinea
Foveaux Strait,Where,Strait that separates Stewart Island from the South Island of New Zealand
Milford Sound,Where,Fjord in the south west of New Zealand's South Island
Fiordland National Park,Where,National park in the southwest corner of the South Island of New Zealand
Aoraki / Mount Cook,Where,Highest mountain in New Zealand
Franz Josef Glacier,Where,Glacier in Westland Tai Poutini National Park
Lake Taupo,Where,Lake in the North Island of New Zealand
Lake Wakatipu,Where,Inland lake in the South Island of New Zealand
Rotorua,Where,Town on the southern shores of a lake in the North Island of New Zealand
Queenstown,Where,Resort town in Otago in the south-west of New Zealand's South Island
Bay of Islands,Where,Area in the Northland Region of the North Island of New Zealand
Coromandel Peninsula,Where,Peninsula on the North Island of New Zealand
Waiheke Island,Where,Island in the Hauraki Gulf of New Zealand
Stewart Island,Where,New Zealand's third-largest island
Mariana Trench,Where,Deepest oceanic trench on Earth
Mid-Atlantic Ridge,Where,Mid-ocean ridge located along the floor of the Atlantic Ocean
The Bermuda Triangle,Where,Mythical section of the Atlantic Ocean
Atlantis,Where,Mythical island mentioned in Plato's dialogues
El Dorado,Where,Mythical city of gold
Shangri-La,Where,Fictional place described in the 1933 novel Lost Horizon
Camelot,Where,Castle and court associated with the legendary King Arthur
Avalon,Where,Legendary island featured in the Arthurian legend
Middle-earth,Where,Fictional setting of much of J. R. R. Tolkien's fantasy
Narnia,Where,Fantasy world created by C. S. Lewis
Hogwarts,Where,Fictional school of magic in the Harry Potter series
Westeros,Where,Fictional continent in Game of Thrones
The International Date Line,Where,An imaginary line on the surface of the Earth that runs from the north to the south pole and demarcates the change of one calendar day to the next
The Antarctic Circle,Where,The most southerly of the five major circles of latitude that mark maps of the Earth
The Red Centre,Where,The southern part of the Northern Territory in Australia
The Top End,Where,The northern part of the Northern Territory in Australia
The North Shore,Where,Region of Sydney
The Eastern Suburbs,Where,Region of Sydney
The Southern Highlands,Where,Region in New South Wales
Gippsland,Where,Region in Victoria
The Fleurieu Peninsula,Where,Peninsula in South Australia
The Yorke Peninsula,Where,Peninsula in South Australia
The West Coast,Where,Region of Tasmania
Chamonix,Where,"Resort area near the junction of France, Switzerland and Italy"
Aspen,Where,Ski resort town in Colorado
Verbier,Where,Village located in south-western Switzerland
Mammoth Lakes,Where,Town in California's Sierra Nevada mountains
Telluride,Where,Former Victorian mining town in Colorado's Rocky Mountains
Lake Louise,Where,Hamlet in Banff National Park in the Canadian Rockies
Jasper,Where,"Alpine town in Alberta, Canada"
Gstaad,Where,Upscale resort town in the Bernese Oberland region of the Swiss Alps
Hakuba,Where,Village in the Japanese Alps
Zion,Where,Biblical name for Jerusalem
Babylon,Where,Ancient city in Mesopotamia
Carthage,Where,Ancient city on the coast of North Africa
Sparta,Where,Ancient city-state in Greece
Thebes,Where,Ancient city in Egypt
Memphis,Where,Ancient capital of Egypt
Ur,Where,Ancient city in Mesopotamia
Nineveh,Where,Ancient Assyrian city
Persepolis,Where,Ancient capital of the Achaemenid Empire
Antioch,Where,Ancient Greek city on the eastern side of the Orontes River
Palmyra,Where,Ancient city in present-day Syria
Tikal,Where,Ancient Mayan citadel in Guatemala
Copan,Where,Archaeological site of the Maya civilization in Honduras
Uxmal,Where,Ancient Maya city of the classical period in Mexico
Cuzco,Where,"City in the Peruvian Andes, once capital of the Inca Empire"
Tenochtitlan,Where,Ancient capital of the Aztec Empire
Cahokia,Where,Pre-Columbian Native American city
Mesa Verde,Where,"National Park in Colorado, home to Ancestral Puebloan cliff dwellings"
Chaco Canyon,Where,National Historical Park in New Mexico
L'Anse aux Meadows,Where,Archaeological site on the northernmost tip of the island of Newfoundland
Skara Brae,Where,Stone-built Neolithic settlement in Scotland
Newgrange,Where,"Prehistoric monument in County Meath, Ireland"
Avebury,Where,"Neolithic henge monument containing three stone circles, around the village of Avebury in Wiltshire"
Gobekli Tepe,Where,Neolithic archaeological site in Turkey
Byblos,Where,Ancient Phoenician port city
Sidon,Where,Ancient Phoenician city
Tyre,Where,Ancient Phoenician port city
Saqqara,Where,"Vast, ancient burial ground in Egypt, serving as the necropolis for the Ancient Egyptian capital, Memphis"
Dahshur,Where,Royal necropolis located in the desert on the west bank of the Nile approximately 40 kilometres south of Cairo
Abydos,Where,One of the oldest cities of ancient Egypt
Luxor Temple,Where,Large Ancient Egyptian temple complex located on the east bank of the Nile River in the city today known as Luxor
Temple of Karnak,Where,"Comprises a vast mix of decayed temples, chapels, pylons, and other buildings near Luxor, in Egypt"
Mortuary Temple of Hatshepsut,Where,Mortuary temple of Ancient Egypt located in Upper Egypt
Ramesseum,Where,Mortuary temple of Pharaoh Ramesses II
Medinet Habu,Where,Mortuary Temple of Ramesses III
Dendera Temple Complex,Where,One of the best-preserved temple complexes in Egypt
Temple of Edfu,Where,Ancient Egyptian temple located on the west bank of the Nile in Edfu
Temple of Kom Ombo,Where,"Unusual double temple in the town of Kom Ombo in Aswan Governorate, Upper Egypt"
Temples of Abu Simbel,Where,"Two massive rock temples at Abu Simbel, a village in Nubia, Upper Egypt"
Erechtheion,Where,Ancient Greek temple on the north side of the Acropolis of Athens in Greece which was dedicated to both Athena and Poseidon
Temple of Hephaestus,Where,Well-preserved Greek temple; it remains standing largely as built
Theatre of Dionysus,Where,"Major theatre in Athens, built at the foot of the Athenian Acropolis"
Odeon of Herodes Atticus,Where,Stone Roman theatre structure located on the southwest slope of the Acropolis of Athens
Palatine Hill,Where,Centermost of the Seven Hills of Rome
Aventine Hill,Where,One of the Seven Hills of Rome
Caelian Hill,Where,One of the Seven Hills of Rome
Esquiline Hill,Where,One of the Seven Hills of Rome
Viminal Hill,Where,Smallest of the Seven Hills of Rome
Quirinal Hill,Where,One of the Seven Hills of Rome
Pantheon,Where,"Former Roman temple, now a church, in Rome, Italy"
Trajan's Market,Where,"Large complex of ruins in the city of Rome, Italy, located on the Via dei Fori Imperiali"
Baths of Caracalla,Where,"The city's second largest Roman public baths, or thermae, in Rome, Italy"
Baths of Diocletian,Where,"Largest of the imperial baths, or thermae, in ancient Rome"
Circus Maximus,Where,"Ancient Roman chariot-racing stadium and mass entertainment venue in Rome, Italy"
Appian Way,Where,One of the earliest and strategically most important Roman roads of the ancient republic
Hadrian's Villa,Where,"Large Roman archaeological complex at Tivoli, Italy"
Ostia Antica,Where,"Large archaeological site, close to the modern town of Ostia, that was the location of the harbour city of ancient Rome"
Library of Celsus,Where,"Ancient Roman building in Ephesus, Anatolia"
Terrace Houses,Where,Ancient Roman residential buildings in Ephesus
Great Theatre of Ephesus,Where,Largest theatre in Anatolia
Hagia Sophia,Where,Late antique place of worship in Istanbul
Blue Mosque,Where,Ottoman-era historical mosque in Istanbul
Topkapi Palace,Where,Large museum in the east of the Fatih district of Istanbul in Turkey
Maiden's Tower,Where,"Tower on a small islet at the southern entrance of the Bosphorus strait in Istanbul, Turkey"
Giralda,Where,"Bell tower of the Seville Cathedral in Seville, Spain"
El Escorial,Where,"Historical residence of the King of Spain, in the town of San Lorenzo de El Escorial"
Valley of the Fallen,Where,Catholic basilica and a monumental memorial in the municipality of San Lorenzo de El Escorial
Giotto's Bell Tower,Where,"Free-standing campanile that is part of the complex of buildings that make up Florence Cathedral on the Piazza del Duomo in Florence, Italy"
Baptistery of St. John,Where,"Religious building in Florence, Italy, and has the status of a minor basilica"
Palazzo Pitti,Where,"Vast, mainly Renaissance, palace in Florence, Italy"
Boboli Gardens,Where,Historical park of the city of Florence that was opened to the public in 1766
Galleria dell'Accademia,Where,"Art museum in Florence, Italy"
Cinque Terre,Where,String of centuries-old seaside villages on the rugged Italian Riviera coastline
Duomo di Milano,Where,"Cathedral church of Milan, Lombardy, Italy"
Galleria Vittorio Emanuele II,Where,"Italy's oldest active shopping gallery and a major landmark of Milan, Italy"
La Scala,Where,"Opera house in Milan, Italy"
Sforza Castle,Where,"Castle in Milan, northern Italy"
Lake Maggiore,Where,Large lake located on the south side of the Alps
Dolomites,Where,Mountain range located in northeastern Italy
Stelvio Pass,Where,"Mountain pass in northern Italy bordering Switzerland at an elevation of 2,757 m above sea level"
Castel Sant'Angelo,Where,"Towering cylindrical building in Parco Adriano, Rome, Italy"
Doge's Palace,Where,"Palace built in Venetian Gothic style, and one of the main landmarks of the city of Venice in northern Italy"
Bridge of Sighs,Where,"Bridge located in Venice, northern Italy"
Rialto Bridge,Where,"Oldest of the four bridges spanning the Grand Canal in Venice, Italy"
St. Mark's Basilica,Where,"Cathedral church of the Roman Catholic Archdiocese of Venice, northern Italy"
Murano,Where,"Series of islands linked by bridges in the Venetian Lagoon, northern Italy"
Burano,Where,"Island in the Venetian Lagoon, northern Italy"
Blue Grotto,Where,"Sea cave on the coast of the island of Capri, southern Italy"
Mount Solaro,Where,"Mountain on the island of Capri in Campania, Italy"
Faraglioni,Where,Three towering rock formations which jut out from the Mediterranean just off the island of Capri's coast
Procida,Where,One of the Flegrean Islands off the coast of Naples in southern Italy
Stromboli,Where,"Island in the Tyrrhenian Sea, off the north coast of Sicily, containing one of the three active volcanoes in Italy"
Egadi Islands,Where,"Group of five small mountainous islands in the Mediterranean Sea off the northwest coast of Sicily, Italy"
Les Invalides,Where,"Complex of buildings in the 7th arrondissement of Paris, France, containing museums and monuments, all relating to the military history of France"
Catacombs of Paris,Where,"Underground ossuaries in Paris, France, which hold the remains of more than six million people"
Pere Lachaise Cemetery,Where,"Largest cemetery in Paris, France"
Palace of Versailles,Where,"Former royal residence located in Versailles, about 12 miles west of the French capital Paris"
Giverny,Where,Commune in the Normandy region of northern France
Mont Saint-Michel,Where,"Tidal island and mainland commune in Normandy, France"
D-Day Beaches,Where,Landing areas in Normandy of the Allied invasion of Normandy in Operation Overlord during World War II
Omaha Beach,Where,Code name for one of the five sectors of the Allied invasion of German-occupied France in the Normandy landings
Juno Beach,Where,One of five beaches of the Allied invasion of German-occupied France in the Normandy landings
Gold Beach,Where,Code name for one of the five areas of the Allied invasion of German-occupied France in the Normandy landings
Sword Beach,Where,"Code name given to one of the five main landing areas along the Normandy coast during the initial assault phase, Operation Neptune, of Operation Overlord"
Pont du Gard,Where,Ancient Roman aqueduct bridge built in the first century AD to carry water over 50 km to the Roman colony of Nemausus
Churchill War Rooms,Where,Museum in London and one of the five branches of the Imperial War Museums
HMS Belfast,Where,Town-class light cruiser that was built for the Royal Navy
The Shard,Where,"95-story supertall skyscraper, designed by the Italian architect Renzo Piano, in Southwark, London"
Millennium Bridge,Where,"London,Steel suspension bridge for pedestrians crossing the River Thames in London"
Portobello Road Market,Where,Street market in the Notting Hill district of the Royal Borough of Kensington and Chelsea in west London
Borough Market,Where,"Wholesale and retail food market in Southwark, London"
Regent's Park,Where,One of the Royal Parks of London
Kensington Gardens,Where,One of the Royal Parks of London
Greenwich Park,Where,Former hunting park in Greenwich and one of the largest single green spaces in south-east London
Royal Observatory,Where,"Greenwich,Observatory situated on a hill in Greenwich Park in south east London"
Kew Gardens,Where,"Botanic gardens in southwest London that house the ""largest and most diverse botanical and mycological collections in the world"""
Hampton Court Palace,Where,"Royal palace in the borough of Richmond upon Thames, 12 miles south west and upstream of central London on the River Thames"
Windsor Great Park,Where,"Royal Park of 2,020 hectares, including a deer park, to the south of the town of Windsor on the border of Berkshire and Surrey in England"
Canterbury Cathedral,Where,One of the oldest and most famous Christian structures in England
York Minster,Where,"Cathedral of York, England, and is one of the world's largest of its kind"
Salisbury Cathedral,Where,"Anglican cathedral in Salisbury, England"
Durham Cathedral,Where,"Cathedral in the city of Durham, England"
Lincoln Cathedral,Where,"Cathedral in Lincoln, England"
Ely Cathedral,Where,"Anglican cathedral in the city of Ely, Cambridgeshire, England"
Gloucester Cathedral,Where,"Cathedral in Gloucester, England"
Winchester Cathedral,Where,"Cathedral of the Church of England in Winchester, Hampshire, England"
Roman Baths,Where,"Bath,Well-preserved thermae in the city of Bath, Somerset, England"
The Royal Crescent,Where,"Row of 30 terraced houses laid out in a sweeping crescent in the city of Bath, England"
The Circus,Where,"Bath,Historic street of large townhouses in the city of Bath, Somerset, England"
Pulteney Bridge,Where,"Bridge over the River Avon in Bath, England"
Castle Howard,Where,"Stately home in North Yorkshire, England"
Blenheim Palace,Where,"Country house in Woodstock, Oxfordshire, England"
Chatsworth House,Where,"Stately home in Derbyshire, England"
Highclere Castle,Where,"Country house in the Jacobethan style, with a park designed by Capability Brown"
